Matrícula   Nombre                 Edad   Peso (kg)   Estatura (m)

  1706164   Akasuwu                  17        71.9           1.78
  1959832   Kut                      16        98.4           1.63
  1695808   Miwexa                   18        54.7           1.95
  1756696   Net                      19        57.7           1.78
  1820128   Oqogaxesa                17        94.1           1.78
  1785304   Otiq                     18        63.9           1.88
  1712092   Ore                      18        54.4           1.60
  1961248   Qulane                   17        65.1           1.78
  1721596   Vovo                     17        65.7           1.66
  1922500   Zedo                     19        64.4           1.62

            PROMEDIOS                18        69.0           1.74
